Name,Description,Category,Sub Categories List,Stocks,Mrp,Rate,Gst,Discount
chicken sausages,A savory chicken–based snack ideal for dogs who love meaty treats,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,300,180,18,40
spiral chicken,Spiral–shaped chicken strips that provide a fun chewing experience,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,300,180,18,40
chicken & bone,Crunchy bone–shaped chicken treats fortified with calcium,Snacks & Treats,Bone Shaped; Calcium Bones,250,300,180,18,40
small chicken & bone,Mini bone–shaped chicken bites for small breeds,Snacks & Treats,Bone Shaped; Calcium Bones,250,300,180,18,40
chicken & fish,A dual–protein treat combining tender chicken and cod,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,300,180,18,40
Milky chew sticks,Creamy milk–infused chew sticks for calcium boost,Snacks & Treats,Semi-Moist Treats; Energy Treats,250,300,180,18,40
chicken & hard jerky,Extra–firm chicken jerky for prolonged chewing sessions,Snacks & Treats,Meat Jerky Treats; Energy Treats,250,300,180,18,40
chicken sliced,Thinly sliced chicken strips perfect for training rewards,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,300,180,18,40
cod fish with chicken,A blend of cod fish and chicken for a flavorful protein mix,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,195,117,18,40
calcum bon & chicken rice,Chicken and rice bites packed with calcium–rich bone meal,Snacks & Treats,Calcium Bones; Soft Treats,250,195,117,18,40
screwed stick,Spiral jerky sticks for an engaging chew,Snacks & Treats,Meat Jerky Treats,250,195,117,18,40
chicken Breast,Premium chicken breast strips for high–protein snacking,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,195,117,18,40
chicken cheese,Chicken bites filled with creamy cheese center,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,195,117,18,40
puppy ring,Soft ring–shaped treats formulated for puppies,Snacks & Treats,Puppy Snacks,250,195,117,18,40
chicken sandwich,Layered chicken snack resembling a mini sandwich,Snacks & Treats,Soft Treats; Semi-Moist Treats,250,195,117,18,40